10 40 1      40 20 0      
9 40 0      40 21 0      
8 40 0      40 22 0      
7 40 0      40 23 0      
6 40 0      40 24 0      
5 40 0      40 25 0      
4 40 0      40 26 0      
3 40 0      40 27 0      
2 40 0      40 28 0      
1 40 0      40 29 0      
50 40 0      40 30 0      
49 40 0      40 31 0      
48 40 0      40 32 0      
47 40 1      40 33 0      
46 40 0      40 34 0      
45 40 0      40 35 0      
44 40 0      39 35 0      
43 40 1      38 35 0      
42 40 0      37 35 0      
41 40 0      36 35 0      
40 40 0      35 35 0      
39 40 0      34 35 0      
38 40 0      33 35 0      
37 40 0      32 35 0      
36 40 0      31 35 0      
35 40 0      30 35 0      
34 40 0      29 35 0      
33 40 0      28 35 0      
32 40 1      27 35 0      
31 40 0      26 35 0      
30 40 0      25 35 0      
29 40 0      24 35 0      
28 40 0       24 35 1      
28 40 0       24 35 1      
28 40 0      23 35 0      
27 40 0      22 35 0      
26 40 0      22 34 0      
25 40 0      22 33 0      
24 40 0      22 32 0      
23 40 0      22 31 0      
22 40 0      22 30 0      
21 40 0      22 29 0      
20 40 0      22 28 0      
19 40 0      22 27 0      
18 40 0      22 26 0      
17 40 0       22 26 1      
17 40 0      22 25 0      
16 40 0      22 24 0      
15 40 0      22 23 0      
14 40 0      22 22 0      
13 40 0      23 22 0      
12 40 0      24 22 0      
11 40 0      25 22 0      
10 40 0      26 22 0      
9 40 0      27 22 0      
8 40 0       27 22 1      
8 40 0      27 21 0      
7 40 0      27 20 0      
6 40 0      27 19 0      
5 40 0      27 18 0      
4 40 0      27 17 0      
3 40 0      27 16 0      
2 40 0      27 15 0      
1 40 0      27 14 0      
50 40 0      27 13 0      
