10 40 1      40 20 0      
9 40 0      40 21 0      
8 40 0      40 22 0      
7 40 0      40 23 0      
6 40 0      40 24 0      
5 40 0      40 25 0      
4 40 0      39 25 0      
3 40 0      38 25 0      
2 40 0      37 25 0      
1 40 0      36 25 0      
50 40 0      35 25 0      
49 40 0      34 25 0      
48 40 0      33 25 0      
47 40 0      32 25 0      
46 40 0      32 26 0      
45 40 0      32 27 0      
44 40 0       32 27 1      
44 40 0      32 28 0      
43 40 0      32 29 0      
42 40 0      31 29 0      
41 40 0      30 29 0      
40 40 0      29 29 0      
39 40 0       29 29 1      
39 40 0      29 30 0      
38 40 0      29 31 0      
37 40 0      29 32 0      
36 40 0       29 32 1      
36 40 0      29 33 0      
35 40 0      29 34 0      
34 40 0      29 35 0      
33 40 0       29 35 1      
33 40 0      29 36 0      
32 40 0      29 37 0      
31 40 0      29 38 0      
30 40 0      29 39 0      
29 40 0      30 39 0      
28 40 0      30 40 0      
27 40 0      30 41 0      
26 40 0      30 42 0      
25 40 0      30 43 0      
24 40 0      30 44 0      
23 40 0      29 44 0      
22 40 0      28 44 0      
21 40 0      27 44 0      
20 40 0      26 44 0      
19 40 0      25 44 0      
18 40 0      24 44 0      
17 40 0      23 44 0      
16 40 0      22 44 0      
15 40 0      21 44 0      
14 40 0      20 44 0      
13 40 0      19 44 0      
12 40 0      18 44 0      
11 40 0      18 45 0      
10 40 0      18 46 0      
9 40 0       18 46 1      
9 40 0      18 47 0      
8 40 0      18 48 0      
7 40 0      18 49 0      
6 40 0      18 50 0      
5 40 0      18 51 0      
4 40 0      18 52 0      
3 40 0       18 52 1      
3 40 0      18 3 0      
2 40 0      18 4 0      
1 40 0      18 5 0      
